# ----------------------------------------
# Обычный поисковый трафик Google: Целевая страница + строка запроса
# Аккаунт: Mr.Car
# Ресурс: Mr.car
# ----------------------------------------
# 
# Все пользователи
# Дата начала: 20250901
# Дата окончания: 20260304
Целевая страница + строка запроса,Клики по результатам обычного поиска Google,Показы в обычном поиске Google,CTR для кликов по результатам обычного поиска Google,Средняя позиция в результатах обычного поиска Google,Активные пользователи,Сеансы с взаимодействием,Доля взаимод.,Среднее время взаимодействия на активного пользователя,Количество событий,Ключевые события,Доход от объявления
/teenused/webasto-remont,339,3211,0.10557458735596388,5.38305823730925,271,180,0.5769230769230769,37.789667896678964,1592,0,0
/,278,10849,0.02562448151903401,12.783666697391464,509,438,0.6074895977808599,30.601178781925345,3772,0,0
/teenused/webasto-remont/webasto-vead-ja-symptomid,227,1151,0.19721980886185925,8.097306689834927,189,167,0.7455357142857143,61.423280423280424,893,0,0
/ru,59,5777,0.01021291327678726,14.125843863597023,69,42,0.45652173913043476,32.95652173913044,430,0,0
/ru/teenused/webasto-remont,48,924,0.05194805194805195,7.424242424242424,37,32,0.6037735849056604,73.1891891891892,249,0,0
/teenused,20,2503,0.007990411506192568,9.88174190970835,46,15,0.3,7.391304347826087,194,0,0
/hinnad,19,2571,0.007390120575651498,6.396732788798133,30,20,0.37037037037037035,8.266666666666667,191,0,0
/teenused/mootori-ja-kaigukasti-remont,16,672,0.023809523809523808,17.616071428571427,19,13,0.6190476190476191,27,107,0,0
/teenused/kaigukasti-remont,15,500,0.03,18.214,9,1,0.1,0.1111111111111111,34,0,0
/ru/kontakt,12,1134,0.010582010582010581,10.868606701940035,13,7,0.3684210526315789,41.07692307692308,103,0,0
/ru/teenused/webasto-remont/webasto-vead-ja-symptomid,8,232,0.034482758620689655,5.741379310344827,8,5,0.625,34.75,41,0,0
/teenused/mootori-diagnostika,7,444,0.015765765765765764,15.975225225225225,8,7,0.7,56.375,57,0,0
/teenused/sildade-reguleerimine,7,288,0.024305555555555556,47.111111111111114,6,4,0.6666666666666666,0,25,0,0
/teenused/summuti-remont,6,256,0.0234375,20.1953125,4,3,0.75,0,16,0,0
/teenused/generaatori-remont,5,189,0.026455026455026454,11.957671957671957,5,0,0,0,16,0,0
/ru/hinnad,4,871,0.004592422502870264,33.09414466130884,17,4,0.0784313725490196,3,123,0,0
/silindripea-remont,4,59,0.06779661016949153,7.322033898305085,4,3,0.75,49,27,0,0
/ru/teenused,3,621,0.004830917874396135,7.962962962962963,4,4,1,65,45,0,0
/teenused/autoremont-hooldus-koplis,3,428,0.007009345794392523,11.481308411214954,17,6,0.35294117647058826,34.470588235294116,72,0,0
/teenused/pidurite-remont,3,207,0.014492753623188406,13.202898550724637,2,0,0,0,6,0,0
/teenused/veakoodide-lugemine-ja-kustutamine,3,50,0.06,8.96,3,0,0,0.3333333333333333,10,0,0
/kontakt,2,619,0.0032310177705977385,9.655896607431341,30,14,0.3111111111111111,37.666666666666664,145,0,0
/mootori-remont-ja-vahetus,2,137,0.014598540145985401,11.014598540145986,0,0,0,0,0,0,0
/ru/privaatsuspoliitika,2,517,0.0038684719535783366,12.353965183752418,0,0,0,0,0,0,0
/ru/teenused/diagnostika,2,351,0.005698005698005698,3.7293447293447293,1,1,1,0,5,0,0
/ru/teenused/klaasipuhastite-vahetus,2,59,0.03389830508474576,30.050847457627118,1,2,1,0,8,0,0
/teenused/elektritood,2,140,0.014285714285714285,42.33571428571429,1,0,0,0,5,0,0
/teenused/kaubiku-remont-hooldus-koplis,2,111,0.018018018018018018,14.117117117117116,0,0,0,0,0,0,0
/teenused/mootori-remont,2,146,0.0136986301369863,10.876712328767123,1,1,1,0,5,0,0
/teenused/mootorikettide-vahetus,2,32,0.0625,8,0,0,0,0,0,0,0
/teenused/starteri-remont,2,135,0.014814814814814815,11.11111111111111,1,0,0,0,3,0,0
/teenused/tehniline-kontroll,2,150,0.013333333333333334,16.526666666666667,2,1,0.5,0,8,0,0
/ru/teenused/starteri-remont,1,9,0.1111111111111111,11,1,1,1,30,8,0,0
