# ----------------------------------------
# Страницы и экраны: Путь к странице и класс экрана
# Аккаунт: Mr.Car
# Ресурс: Mr.car
# ----------------------------------------
# 
# Все пользователи
# Дата начала: 20260204
# Дата окончания: 20260303
Путь к странице и класс экрана,Просмотры,Активные пользователи,Просмотры на активного пользователя,Среднее время взаимодействия на активного пользователя,Количество событий,Ключевые события,Общий доход
/,720,526,1.3688212927756653,13.220532319391635,2360,0,0
/ru,266,218,1.2201834862385321,20.03669724770642,895,0,0
/hinnad,159,120,1.325,24.908333333333335,298,0,0
/teenused/mootori-ja-kaigukasti-remont,133,101,1.316831683168317,18.752475247524753,448,0,0
/ru/hinnad,93,54,1.7222222222222223,37.629629629629626,204,0,0
/teenused,86,62,1.3870967741935485,26.725806451612904,198,0,0
/kontakt,85,62,1.3709677419354838,29.580645161290324,190,0,0
/teenused/webasto-remont,85,49,1.7346938775510203,42.02040816326531,285,0,0
/teenused/webasto-remont/webasto-vead-ja-symptomid,85,65,1.3076923076923077,62.52307692307692,286,0,0
/teenused/mootori-remont-ja-vahetus,59,50,1.18,19.38,214,0,0
/ru/teenused,34,32,1.0625,21.4375,95,0,0
/ru/kontakt,29,25,1.16,10.92,66,0,0
/ru/teenused/webasto-remont,28,15,1.8666666666666667,70,84,0,0
/teenused/autoremont-hooldus-koplis,28,25,1.12,24.36,73,0,0
/teenused/mootori-diagnostika,15,13,1.1538461538461537,23.153846153846153,52,0,0
/ru/teenused/autoremont-hooldus-koplis,7,6,1.1666666666666667,16,14,0,0
/ru/teenused/mootori-ja-kaigukasti-remont,7,6,1.1666666666666667,41,17,0,0
/ru/teenused/webasto-remont/webasto-vead-ja-symptomid,4,4,1,46.5,14,0,0
/jata-paring,3,3,1,19.666666666666668,8,0,0
/ru/jata-paring,3,2,1.5,144,11,0,0
/ru/teenused/mootori-remont-ja-vahetus,3,3,1,21.333333333333332,7,0,0
/ru/teenused/kaubiku-remont-hooldus-koplis,2,2,1,1.5,3,0,0
/silindripea-remont,2,1,2,10,6,0,0
/privaatsuspoliitika,1,1,1,8,2,0,0
/teenused/kaigukastioli-vahetus,1,1,1,30,2,0,0
/teenused/kaubiku-remont-hooldus-koplis,1,1,1,15,2,0,0
