Страна,Kлики,Показы,CTR,Позиция
Эстония,617,12255,5.03%,11.42
Финляндия,30,206,14.56%,7.89
Дания,2,9,22.22%,6.78
Россия,1,28,3.57%,10.61
Норвегия,1,16,6.25%,19.44
Нидерланды,1,13,7.69%,6.46
Турция,1,12,8.33%,3.25
Латвия,1,11,9.09%,16.73
Швеция,1,10,10%,6.8
Швейцария,1,9,11.11%,31.56
Беларусь,1,4,25%,6.25
Ирландия,1,3,33.33%,4.67
Гонконг,1,2,50%,7
США,0,142,0%,7.04
Бразилия,0,25,0%,5.56
Аргентина,0,22,0%,1
Украина,0,20,0%,10
Великобритания,0,20,0%,15
Германия,0,17,0%,16.06
Испания,0,15,0%,11.93
Индия,0,15,0%,12.33
Чили,0,11,0%,9.64
Мексика,0,10,0%,1
Саудовская Аравия,0,10,0%,1
Польша,0,9,0%,5.44
Канада,0,9,0%,11.78
Малайзия,0,9,0%,13.56
Ирак,0,8,0%,1.12
Объединенные Арабские Эмираты,0,7,0%,2.14
Таиланд,0,7,0%,11.14
Индонезия,0,6,0%,5
Италия,0,6,0%,5
Эквадор,0,6,0%,7.17
Австралия,0,6,0%,40.17
Франция,0,5,0%,10.4
Филиппины,0,5,0%,16.6
Бангладеш,0,4,0%,1
Бахрейн,0,4,0%,1
Венесуэла,0,4,0%,1
Вьетнам,0,4,0%,3
Кыргызстан,0,4,0%,4.25
Марокко,0,4,0%,11.75
Израиль,0,4,0%,15
Непал,0,3,0%,1
Уругвай,0,3,0%,1
Южная Африка,0,3,0%,2.67
Португалия,0,3,0%,3.67
Бельгия,0,3,0%,6.33
Литва,0,3,0%,20.33
Венгрия,0,3,0%,21.33
Австрия,0,3,0%,22.33
Армения,0,2,0%,1
Азербайджан,0,2,0%,1
Босния и Герцеговина,0,2,0%,1
Колумбия,0,2,0%,1
Доминиканская Республика,0,2,0%,1
Иордания,0,2,0%,1
Казахстан,0,2,0%,1
Оман,0,2,0%,1
Туркменистан,0,2,0%,4.5
Иран,0,2,0%,5.5
Грузия,0,2,0%,11
Япония,0,2,0%,11
Румыния,0,2,0%,23
Пакистан,0,2,0%,30.5
Люксембург,0,2,0%,49.5
Камбоджа,0,2,0%,89.5
Болгария,0,1,0%,1
Боливия,0,1,0%,1
Ботсвана,0,1,0%,1
Коста-Рика,0,1,0%,1
Алжир,0,1,0%,1
Египет,0,1,0%,1
Кения,0,1,0%,1
Нигерия,0,1,0%,1
Парагвай,0,1,0%,1
Палестина,0,1,0%,1
Катар,0,1,0%,1
Сальвадор,0,1,0%,1
Сербия,0,1,0%,1
Тринидад и Тобаго,0,1,0%,1
Тунис,0,1,0%,1
Танзания,0,1,0%,1
Узбекистан,0,1,0%,1
Неизвестный регион,0,1,0%,1
Македония,0,1,0%,2
Южная Корея,0,1,0%,10
Сингапур,0,1,0%,13
Китай,0,1,0%,14
Новая Зеландия,0,1,0%,15
Сирия,0,1,0%,22
Мальта,0,1,0%,23
Лихтенштейн,0,1,0%,46
Исландия,0,1,0%,81
